cod_municipio,nome_município,cod_uf,nome_uf,cod_meso,nome_meso,cod_micro,nome_micro,latitude,longitude
5200050,Abadia de Goiás,52,Goiás,03,Centro Goiano,010,Goiânia,-167573,-494412
3100104,Abadia dos Dourados,31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,019,Patrocínio,-184831,-473916
5200100,Abadiânia,52,Goiás,04,Leste Goiano,012,Entorno de Brasília,-16197,-487057
3100203,Abaeté,31,Minas Gerais,06,Central Mineira,024,Três Marias,-191551,-454444
1500107,Abaetetuba,15,Pará,04,Nordeste Paraense,011,Cametá,-172183,-488788
2300101,Abaiara,23,Ceará,07,Sul Cearense,033,Brejo Santo,-734588,-390416
2900108,Abaíra,29,Bahia,06,Centro Sul Baiano,023,Seabra,-132488,-416619
2900207,Abaré,29,Bahia,02,Vale São-Franciscano da Bahia,005,Paulo Afonso,-872073,-391162
4100103,Abatiá,41,Paraná,04,Norte Pioneiro Paranaense,015,Cornélio Procópio,-233049,-503133
4200051,Abdon Batista,42,Santa Catarina,03,Serrana,009,Curitibanos,-276126,-510233
1500131,Abel Figueiredo,15,Pará,06,Sudeste Paraense,017,Paragominas,-495333,-483933
4200101,Abelardo Luz,42,Santa Catarina,01,Oeste Catarinense,003,Xanxerê,-265716,-523229
3100302,Abre Campo,31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,-202996,-424743
2600054,Abreu e Lima,26,Pernambuco,05,Metropolitana de Recife,017,Recife,-790072,-348984
1700251,Abreulândia,17,Tocantins,01,Ocidental do Tocantins,003,Miracema do Tocantins,-962101,-491518
3100401,Acaiaca,31,Minas Gerais,12,Zona da Mata,060,Ponte Nova,-20359,-431439
2100055,Açailândia,21,Maranhão,02,Oeste Maranhense,009,Imperatriz,-494714,-475004
2900306,Acajutiba,29,Bahia,04,Nordeste Baiano,017,Alagoinhas,-116575,-380197
1500206,Acará,15,Pará,04,Nordeste Paraense,012,Tomé-Açu,-195383,-481985
2300150,Acarape,23,Ceará,02,Norte Cearense,013,Baturité,-422083,-387055
2300200,Acaraú,23,Ceará,01,Noroeste Cearense,001,Litoral de Camocim e Acaraú,-288769,-401183
2400109,Acari,24,Rio Grande do Norte,02,Central Potiguar,012,Seridó Oriental,-64282,-366347
2200053,Acauã,22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,-821954,-410831
4300034,Aceguá,43,Rio Grande do Sul,06,Sudoeste Rio-grandense,031,Campanha Meridional,-318665,-541615
2300309,Acopiara,23,Ceará,04,Sertões Cearenses,021,Sertão de Senador Pompeu,-608911,-39448
5100102,Acorizal,51,Mato Grosso,04,Centro-Sul Mato-grossense,016,Rosário Oeste,-15194,-563632
1200013,Acrelândia,12,Acre,02,Vale do Acre,004,Rio Branco,-982581,-668972
5200134,Acreúna,52,Goiás,05,Sul Goiano,014,Vale do Rio dos Bois,-17396,-503749
2400208,Açu,24,Rio Grande do Norte,01,Oeste Potiguar,004,Vale do Açu,-558362,-36914
3100500,Açucena,31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,-190671,-425419
3500105,Adamantina,35,São Paulo,08,Presidente Prudente,035,Adamantina,-21682,-510737
5200159,Adelândia,52,Goiás,03,Centro Goiano,009,Anicuns,-164127,-501657
3500204,Adolfo,35,São Paulo,01,São José do Rio Preto,004,São José do Rio Preto,-212325,-496451
4100202,Adrianópolis,41,Paraná,10,Metropolitana de Curitiba,035,Cerro Azul,-246606,-489922
2900355,Adustina,29,Bahia,04,Nordeste Baiano,015,Ribeira do Pombal,-105437,-381113
